   SAO; m(vis); RA(deg); DEC(deg); RAchange(deg/yr); DECchange(deg/yr)
15163;4.9;156.0327641;65.56641493;-0.00000546;-0.00000611
15200;6;157.6105815;64.25778687;-0.00003528;-0.00001444
15260;5.9;160.4514116;68.44343013;-0.00002016;-0.00000722
15261;5.1;160.4858991;65.71632079;-0.00011088;-0.00002
15269;5.2;160.7669699;69.07621354;0.00000168;-0.00000361
15273;5.9;161.1601325;68.77573832;-0.0000336;-0.00000639
15384;2;165.9321221;61.75090254;-0.00006888;-0.00001861
15486;6;170.7135609;64.33048952;-0.00000336;0.00000944
15520;5.9;172.2689408;61.77841369;-0.0000693;0.00006666
15532;4.1;172.8512036;69.33111396;-0.0000294;-0.00000472
15542;5.5;173.0869242;61.08264673;0.00000084;-0.00001917
15567;5.4;174.011812;69.32292181;0.00008778;-0.00003528
15606;5.5;175.6182504;66.74489041;-0.00003108;0.00001056
15816;5.3;187.5277921;69.20121349;-0.00004662;-0.00001444
15871;5.9;190.3912763;62.71306117;-0.00002016;-0.00000444
15901;5.8;191.8288726;62.78092231;0.00001008;-0.00000028
15902;5.7;191.8931814;66.79039072;0.00000252;-0.00000083
15907;5.9;192.1642312;60.31995483;0.00005964;0.00000028
15941;5.3;193.8689234;65.43847054;-0.0000042;-0.00000833
15960;5.5;194.9796489;66.59733482;-0.00009828;-0.00000361
15962;6;195.445199;63.61041424;-0.00011298;0.00000806
16080;5.4;202.1129015;59.94587399;-0.00004494;0.00001083
16142;5.7;205.374415;64.82232583;0.00003402;-0.00000389
16186;6;207.4397573;61.48928304;0.00003906;-0.00002722
16199;4.8;207.8580533;64.72328145;0;-0.00000056
16273;3.6;211.097363;64.37586206;-0.00003486;0.000005
16305;5.4;213.017076;69.43263868;-0.0000189;-0.00001278
16406;6;217.6919693;63.18567531;-0.0001113;0.00000167
16558;4.9;224.3958884;65.93239586;-0.00005418;0.00000806
16574;5.9;225.3625763;60.20462411;-0.00001344;0.00000472
16660;5.2;228.6597112;67.34681029;0.00016044;-0.00010777
16712;5.8;230.6553657;62.04718886;0.00000588;-0.00000944
16713;5.8;230.6598451;63.34135316;-0.00001218;-0.00002611
16754;5.9;232.7323872;64.20870328;-0.00007308;0.00002139
16794;5.9;234.4132546;69.28329145;-0.00003822;0.00001417
16848;5.1;236.6666388;62.5995473;0.0000231;-0.00001556
16962;5.4;241.582057;67.81014939;-0.00002646;0.00001778
17062;5.4;245.4531004;69.10952188;-0.00001512;-0.00000111
17073;5.6;245.9460254;61.6966056;-0.00002142;0.00000944
17074;2.9;245.9979548;61.51425828;-0.00001008;0.00001667
17107;5;246.9959256;68.76814147;-0.00001932;0.00000972
17130;5.9;248.1069095;60.82336891;0.00001134;-0.0000025
17188;5;250.2300226;64.58905916;0.0000021;-0.00000444
17281;4.8;254.0072574;65.13475123;0.0001596;0.00001389
17365;3.2;257.1968584;65.71467927;-0.00001218;0.00000611
17391;5.5;258.1358134;62.87443937;0.00000924;0.00001444
17472;5.7;261.4223182;60.04842144;-0.00000546;0.0000075
17526;5.2;262.9911981;68.13505783;-0.00000924;0.00003722
17546;5.3;263.7481404;61.87496399;0.00015456;-0.00014083
17576;4.9;264.2379026;68.75798579;0.00000084;0.00008944
